Fecha,Edificio,Consumo_kWh,Temperatura,Personas,Archivo_Prueba,Nivel_Consumo
2026-09-11,Administración,270,23,110,prueba_2.csv,Consumo medio
2026-09-12,Ingeniería,570,24,384,prueba_2.csv,Consumo alto
2026-09-12,Biblioteca,400,23,202,prueba_2.csv,Consumo alto
2026-09-12,Administración,280,24,115,prueba_2.csv,Consumo medio
2026-09-01,Ingeniería,322,23,360,prueba_3.csv,Consumo medio
2026-09-01,Biblioteca,240,22,190,prueba_3.csv,Consumo bajo
2026-09-01,Administración,174,23,110,prueba_3.csv,Consumo bajo
2026-09-02,Ingeniería,340,24,368,prueba_3.csv,Consumo medio
2026-09-02,Biblioteca,250,23,196,prueba_3.csv,Consumo medio
2026-09-02,Administración,180,24,115,prueba_3.csv,Consumo bajo
2026-09-03,Ingeniería,358,25,376,prueba_3.csv,Consumo medio
2026-09-03,Biblioteca,260,24,202,prueba_3.csv,Consumo medio
2026-09-03,Administración,186,25,110,prueba_3.csv,Consumo bajo
2026-09-04,Ingeniería,376,26,384,prueba_3.csv,Consumo medio
2026-09-04,Biblioteca,270,25,190,prueba_3.csv,Consumo medio
2026-09-04,Administración,192,26,115,prueba_3.csv,Consumo bajo
2026-09-05,Ingeniería,322,27,360,prueba_3.csv,Consumo medio
2026-09-05,Biblioteca,240,26,196,prueba_3.csv,Consumo bajo
2026-09-05,Administración,174,27,110,prueba_3.csv,Consumo bajo
2026-09-06,Ingeniería,340,23,368,prueba_3.csv,Consumo medio
2026-09-06,Biblioteca,250,22,202,prueba_3.csv,Consumo medio
2026-09-06,Administración,180,23,115,prueba_3.csv,Consumo bajo
2026-09-07,Ingeniería,358,24,376,prueba_3.csv,Consumo medio
2026-09-07,Biblioteca,260,23,190,prueba_3.csv,Consumo medio
2026-09-07,Administración,186,24,110,prueba_3.csv,Consumo bajo
2026-09-08,Ingeniería,376,25,384,prueba_3.csv,Consumo medio
2026-09-08,Biblioteca,270,24,196,prueba_3.csv,Consumo medio
2026-09-08,Administración,192,25,115,prueba_3.csv,Consumo bajo
2026-09-09,Ingeniería,322,26,360,prueba_3.csv,Consumo medio
2026-09-09,Biblioteca,240,25,202,prueba_3.csv,Consumo bajo
2026-09-09,Administración,174,26,110,prueba_3.csv,Consumo bajo
2026-09-10,Ingeniería,340,27,368,prueba_3.csv,Consumo medio
2026-09-10,Biblioteca,250,26,190,prueba_3.csv,Consumo medio
2026-09-10,Administración,180,27,115,prueba_3.csv,Consumo bajo
2026-09-11,Ingeniería,358,23,376,prueba_3.csv,Consumo medio
2026-09-11,Biblioteca,260,22,196,prueba_3.csv,Consumo medio
2026-09-11,Administración,186,23,110,prueba_3.csv,Consumo bajo
2026-09-12,Ingeniería,376,24,384,prueba_3.csv,Consumo medio
2026-09-12,Biblioteca,270,23,202,prueba_3.csv,Consumo medio
2026-09-12,Administración,192,24,115,prueba_3.csv,Consumo bajo
